Rendszám;Tulaj;Típus;Bal első kerék nyomása;Jobb első kerék nyomása;Bal hátsó kerék nyomása;Jobb hátsó kerék nyomása
XFN-189;BOGDÁN BOZSENA;GM LACROSSE/ALLURE;2.584;2.394;2.621;2.316
EIX-612;PÁSZTOR SZTILLA;BMW M5;2.725;2.35;2.125;2.01
MEY-459;NOVÁK CSÁT;TOYOTA TOYOTA TACOMA 4WD;1.741;2.14;2.039;2.834
UWP-203;BOROS DONALD;Mitsubishi ENDEAVOR 4WD;1.536;2.336;1.983;1.805
ZGX-640;SZABÓ MIRKA O.;TOYOTA COROLLA MATRIX;2.168;1.815;1.826;2.604
QTF-387;BALOG RÍKA;MERCEDES BENZ ML350;1.898;1.565;1.544;1.881
NXE-634;SZŰCS BERTALAN G.;TOYOTA HIGHLANDER 2WD;1.895;2.914;1.898;2.918
COO-286;SÁRKÖZI ÖRKÖND;BMW M5;0.704;1.578;1.485;2.357
XKR-275;NOVÁK JARA M.;KIA SORENTO 4WD;1.978;1.23;4.45;1.689
JUR-143;DEÁK DAMARISZ;Ford CROWN VICTORIA POLICE;2.916;3.764;4.752;3.132
NXU-485;MAGYAR TEOFIL P.;MERCEDES BENZ MAYBACH 57S;1.777;2.895;2.537;1.871
WZK-329;KOZMA RITA W.;TOYOTA ES 330;2.331;2.44;2.502;2.747
LTF-481;SZÜCS ZÍLIÓ X.;JAGUAR XKR CONVERTIBLE;2.83;1.901;2.544;2.109
ATW-565;BUDAI DEZSŐ M.;BMW 325XI;2.949;3.568;3.42;3.656
AFB-185;ILLÉS ALBERT;MAZDA 5;1.708;2.876;1.524;2.185
IIL-818;FAZEKAS TARDOS P.;KIA OPTIMA;0.907;4.207;4.028;0.578
KMH-570;OLÁH LARGÓ;KIA AMANTI;1.526;1.622;2.161;1.775
WDJ-616;SZÉKELY NOLA J.;GM HHR FWD;1.16;2.117;3.408;4.323
FXV-641;VÖRÖS DÁNIEL Q.;Ford TOWN CAR;2.508;2.09;2.053;2.987
QIM-398;PÁL SZÁVA;LAMBORGHINI L-147/148 MURCIELAGO;2.668;2.328;2.853;1.787
YYI-065;BIRÓ JÓZSUÉ;TOYOTA TOYOTA TACOMA 4WD;2.183;0.643;4.125;2.89
UZA-500;MÁRTON MARINETTA O.;GM IMPALA;2.065;2.534;2.032;2.178
NUS-424;FAZEKAS KEMÁL D.;Ford EXPLORER 4WD;2.98;4.649;2.593;1.687
TMR-041;KEREKES ROXÁN;GM TRAILBLAZER 4WD;1.997;2.998;2.98;2.268
LXM-597;PINTÉR TULLIA Z.;VOLVO V70 R AWD;4.184;0.556;2.532;3.228
BLW-129;KATONA AGGEUS;BMW X5 4.8IS;2.571;2.174;2.359;2.082
FPX-200;FÜLÖP LEÓ T.;HONDA ODYSSEY 2WD;2.768;1.761;2.291;2.43
FSC-405;KIS FRUZSINA;MERCEDES BENZ MAYBACH 57S;2.026;2.013;2.603;1.693
BPM-789;BOGNÁR BIRGIT;JAGUAR XKR CONVERTIBLE;1.816;2.324;2.209;2.066
HRZ-950;PAP CELERINA B.;Ford THUNDERBIRD;2.403;2.709;1.577;2.941
LGP-766;MEZEI LIEM Y.;Nissan TITAN 2WD;1.751;3.294;2.088;0.6
SBD-663;ILLÉS ELMÁR;VOLKSWAGEN PASSAT WAGON 4MOTION;1.544;2.409;1.906;1.689
UND-409;NÉMETH KENÉZ;Nissan PATHFINDER 2WD;4.868;0.895;1.667;2.488
XPS-837;JUHÁSZ AZIZA;TOYOTA 4RUNNER 2WD;2.966;1.97;1.81;1.965
MUP-013;SOMOGYI ARNÓ;VOLKSWAGEN PASSAT WAGON 4MOTION;2.115;1.814;2.738;2.1
CSY-959;ORBÁN JÓZSIÁS O.;HONDA CIVIC HYBRID;1.993;4.38;3.697;1.761
HTC-694;BARTA MIU Y.;MERCEDES BENZ SL600;2.434;2.347;1.95;2.319
PFH-257;BALOG ÁRÉSZ;GM K1500 TAHOE 4WD;4.798;3.156;4.009;3.711
XSU-543;VASS KAPISZTRÁN;BMW 525I;1.935;2.363;2.598;2.427
ZOO-855;TAMÁS NIMFA;MERCEDES BENZ SLK280;1.501;2.245;2.751;1.561
DND-694;JÓNÁS ANDREA;Mitsubishi GALANT;2.464;1.73;1.624;2.958
JIR-322;ORSÓS ANNALEILA O.;TOYOTA RX 400H 4WD;3.93;4.643;3.541;3.057
QHH-269;FARAGÓ VETTI;TOYOTA SEQUOIA 4WD;1.711;1.863;2.111;2.761
KVC-837;SZEKERES MILIÁN Y.;Rolls-Royce PHANTOM;2.924;2.085;1.588;2.282
AOT-460;BOGDÁN AFRODITA E.;Ford E150 CLUB WAGON;3.816;2.231;2.125;2.472
EXJ-567;MOLNÁR ZSERALDINA N.;TOYOTA 4RUNNER 2WD;3.549;4.982;1.473;1.143
GKN-514;BOGNÁR VOLFRAM E.;Ford RANGER PICKUP 2WD;3.395;4.164;4.729;4.744
OJK-270;VERES MARINETTA R.;GM LIMOUSINE;2.87;2.328;1.636;1.92
UGK-875;VÖRÖS ENÉ T.;GM G1500/2500 CHEVY EXPRESS 2WD;1.651;2.769;1.99;1.622
ROF-078;LENGYEL INGMÁR;MERCEDES BENZ SL600;1.639;2.322;2.672;2.433
ESV-228;HORVÁTH KARMEN;MERCEDES BENZ CLK350 (CABRIOLET);1.81;2.126;2.84;1.906
DRB-800;NOVÁK EUTIM H.;AUDI TT ROADSTER;0.622;1.004;4.052;0.85
YEC-881;TÖRÖK DEZSŐ A.;TOYOTA YARIS;2.921;2.9;2.087;2.02
YUG-683;PAP SZILVER N.;TOYOTA HIGHLANDER 2WD;2.495;2.216;2.126;2.838
CUU-768;MÉSZÁROS LORÁND T.;HYUNDAI ELANTRA;2.204;3.246;2.718;1.185
MEN-952;SOÓS CELESZTINA;Ford FOCUS  FWD;2.744;2.393;1.996;2.206
BKW-564;KEREKES ALDA;GM ENVOY 2WD;4.976;4.657;2.359;2.886
TMQ-001;VASS MARINKA;Mitsubishi LANCER SPORTBACK;1.798;1.544;2.588;2.958
SDM-733;JÓNÁS DORINDA;DaimlerChrysler DAKOTA PICKUP 4WD;2.254;2.057;2.281;2.66
GWT-555;HEGEDŰS LIBERÁTUSZ;GM G6;2.257;1.769;2.891;2.914
OTA-622;NAGY RAMÓNA V.;LAND ROVER RANGE ROVER;1.442;2.869;3.067;3.168
NNI-402;DEÁK MÁRTON J.;LAMBORGHINI L-140/715 GALLARDO;2.761;2.975;2.495;2.131
ZRQ-547;OLÁH ZÁJA;Rolls-Royce PHANTOM;2.275;2.904;1.812;1.859
ULB-205;VÁRADI SZIRINGA U.;Ford EXPEDITION 2WD;2.561;2.27;2.431;1.754
CZQ-939;HALÁSZ BLONDINA;Nissan SENTRA;4.227;3.864;0.954;2.248
QPX-954;HEGEDÜS CECILIÁN;Nissan ARMADA 2WD;1.75;2.003;1.644;1.855
GLI-256;BIRÓ ARMILLA S.;DaimlerChrysler SEBRING 4-DR;4.735;4.169;1.238;0.868
KYE-208;MEZEI KRIZANTA J.;BENTLEY ARNAGE;1.961;1.596;2.974;2.706
RNH-116;FÁBIÁN ZORBA Q.;MASERATI COUPE CAMBIOCORSA/GT/G-SPORT;2.81;2.111;2.344;1.526
IJP-934;MEZEI MÁTYÁS X.;GM SRX 2WD;1.579;2.993;2.077;2.914
IOJ-433;SIPOS LIONEL D.;Nissan G35;2.617;2.839;2.035;2.133
OCH-000;GÁSPÁR VOTAN;GM LACROSSE/ALLURE;2.919;2.492;1.576;2.742
PJU-427;NEMES PLATÓN;Nissan ALTIMA;2.157;1.544;2.029;2.77
SFM-291;PINTÉR ODETT;Nissan MAXIMA;1.596;4.681;2.49;4.811
KPX-432;FODOR TULIPÁN;MERCEDES BENZ E55 AMG (WAGON);2.991;2.214;1.831;2.339
JYS-926;VÖRÖS FLAMINA Y.;TOYOTA GX 470;4.732;2.09;1.226;0.754
HWK-335;RÁCZ ARITA I.;MAZDA 3;2.948;2.2;2.536;2.214
GGX-749;KIS BRÁJEN;MERCEDES BENZ SL600;1.59;2.611;2.504;2.749
BYI-635;ILLÉS NESZRIN;DaimlerChrysler WRANGLER/TJ 4WD;1.885;1.656;2.159;2.2
MJO-883;BOROS SZILVI;AUDI GTI;2.911;3.176;1.298;3.95
TRT-315;VASS CSETE;AUDI A4 QUATTRO;2.719;1.547;2.125;2.559
PZI-849;OROSZ SZULAMIT;TOYOTA RAV4 4WD;1.312;3.68;4.597;3.338
ELY-914;BALLA DASZTIN;BMW MINI COOPER S;4.289;4.138;4.625;4.93
NLV-781;SZÜCS VILHELMA T.;TOYOTA TOYOTA TUNDRA 4WD;2.931;2.61;2.6;2.223
CMM-295;BAKOS GOTHÁRD M.;VOLVO S60 FWD;1.785;2.569;1.651;2.215
YNC-047;BODNÁR ALÁN S.;Nissan XTERRA 2WD;1.725;2.975;1.624;2.924
CTA-629;SZŰCS NOA;VOLVO NEW C70 CONVERTIBLE;4.833;0.754;1.958;3.809
XLV-200;KIS LEONARDA;HONDA TL;1.422;4.472;2.537;0.978
VWT-429;MÁRTON METÓD;DaimlerChrysler SEBRING 4-DR;2.282;2.764;2.725;2.69
ERH-389;FEKETE SZÉPE;Nissan M35X;1.714;2.654;1.603;2.722
MAM-087;LUKÁCS ZEBADIÁS;HONDA CIVIC;2.807;2.233;2.423;2.28
JOD-622;BALOGH MODESZTINA S.;HONDA RSX;2.141;2.533;4.138;2.647
KVZ-015;BIRÓ VERKA;KIA SEDONA;1.419;4.708;3.623;1.111
CMV-727;LAKATOS KIEN;KIA SORENTO 2WD;2.73;2.048;1.518;1.553
APD-594;KISS MÁRTON;KIA SORENTO 4WD;2.358;2.614;2.636;2.332
YNA-328;VIRÁG HARI R.;TOYOTA TOYOTA TACOMA 4WD;4.66;4.166;2.894;3.938
MYH-077;HEGEDÜS KERESZTES N.;MAZDA MX-5;1.74;1.961;2.485;2.345
HYS-715;ILLÉS SAROLTA J.;GM 9-3 CONVERTIBLE;1.956;1.656;2.098;1.792
PLQ-052;SÁNDOR BETLEN F.;TOYOTA YARIS;3.643;4.494;3.715;1.082
AJV-106;SÁNDOR DIÓ;VOLVO S40 FWD;1.882;1.72;1.813;1.986
UOD-427;FAZEKAS PONGRÁC B.;GM G1500/2500 CHEVY VAN 2WD;1.576;1.537;2.18;1.939
SUG-015;PAPP DOMONKOS;AUDI A6 QUATTRO;2.627;2.391;1.859;2.109
IUM-641;KOZMA TIFANI K.;BMW X5 4.8IS;2.706;2.588;2.681;2.801
PWN-662;MÁRTON TICIÁN;GM 9-3 SPORT SEDAN;2.524;2.876;1.972;2.678
GIV-453;SZILÁGYI LAVA;DaimlerChrysler PACIFICA 2WD;1.678;2.332;4.821;3.576
SQN-217;HEGEDŰS GRIZELDISZ E.;HYUNDAI SANTAFE 4WD;2.175;2.812;2.365;2.745
LRW-937;FAZEKAS PAULINA G.;TOYOTA RAV4 2WD;4.854;3.384;1.855;3.562
MZO-258;TAKÁCS KERUBIN;MAZDA 6;2.338;1.954;2.523;2.074
BHR-812;SÁNDOR SZEDRIK A.;GM Daewoo VERONA;1.708;2.033;2.502;1.835
HGT-362;VARGA KÁLEB;TOYOTA LS 430;2.45;4.784;2.704;2.473
JWD-352;LUKÁCS BRENDON M.;BMW MINI COOPER;2.353;1.529;1.98;2.804
RUY-042;BORBÉLY LANA;GM Daewoo FORENZA;1.985;2.651;2.3;2.559
DBS-568;KATONA ZEKE;GM ESCALADE 2WD;4.088;1.331;2.278;3.324
UPH-731;BARNA GÉZA;GM C1500 YUKON 2WD;2.12;2.376;2.216;1.584
FKV-144;BIRÓ POMPÓNIA;FUJI LEGACY WAGON AWD;1.549;1.985;1.831;2.657
BLZ-629;SZILÁGYI PALMIRA L.;TOYOTA 4RUNNER 2WD;2.469;2.07;2.036;1.722
OQF-051;FEHÉR CSATÓ;JAGUAR S-TYPE R;2.702;1.705;1.013;1.516
JNK-110;OROSZ RAGNAR;SUZUKI GRAND VITARA XL-7 4WD;1.185;1.302;2.884;1.969
IRK-618;KISS APOL Y.;TOYOTA SIENNA 2WD;2.971;1.504;2.015;2.023
QYG-659;HEGEDÜS DÉNA;TOYOTA 4RUNNER 2WD;2.641;4.374;3.633;0.773
UPH-737;HAJDU ROLLAN U.;TOYOTA CAMRY;2.323;1.577;2.45;2.672
RDA-183;TÓTH KORON R.;BMW 650CI CONVERTIBLE;3.682;1.472;4.496;3.281
NLS-731;NOVÁK LÁZÓ;HONDA TL;1.763;1.977;2.422;1.646
TEK-740;SIMON DAKÓ E.;MERCEDES BENZ CL65 AMG;2.598;2.042;2.371;1.854
NTT-354;ORSÓS GUSZTÁV D.;TOYOTA GS 300 4WD;2.387;1.621;1.591;2.095
YEV-407;GULYÁS SZALÁRD U.;Ford ESCAPE FWD;3.186;2.037;0.817;4.602
OOX-609;BODNÁR APRÓD;TOYOTA SIENNA 4WD;2.189;2.504;2.659;2.647
AVG-442;KELEMEN MÓNA;Ford MARK LT;1.742;2.617;1.717;2.257
LZN-366;BOGDÁN MIZSE E.;GM CTS;2.804;2.473;2.21;2.297
SQM-523;MAJOR GERBERA;LOTUS ELISE/EXIGE;1.743;2.698;1.915;2.1
GYX-126;JUHÁSZ ZINAJDA F.;GM HHR FWD;2.379;2.156;2.563;1.623
SYD-085;DEÁK ARIÉLA G.;Ford FREESTYLE AWD;2.898;2.573;2.254;2.55
NBD-582;MÉSZÁROS HELÉN;HONDA ODYSSEY 2WD;2.774;2.842;1.666;2.654
PXU-370;SZEKERES BURAK E.;GM GTO;1.816;2.894;2.448;2.47
DCR-498;JUHÁSZ IGNÁC V.;MERCEDES BENZ CL65 AMG;2.941;1.662;2.622;1.631
BGU-190;PAPP LEVÉD;TOYOTA RAV4 2WD;2.559;3.51;1.195;4.739
BKJ-629;VIRÁG MANASSÉ I.;HONDA CIVIC;3.28;0.825;0.674;1.757
XNY-720;FÜLÖP EMILIÁNA O.;TOYOTA IS 350;1.19;2.707;0.693;2.201
SLW-886;FODOR SZÓKRATÉSZ;DaimlerChrysler CARAVAN 2WD;3.498;4.056;1.902;0.862
EMY-147;MAJOR ÁBRIS Q.;BMW 325CI CONVERTIBLE;2.101;2.799;2.048;1.667
MVG-773;KEREKES FLORINA P.;MERCEDES BENZ C55 AMG;1.664;2.878;4.92;1.311
BKR-789;FEKETE ELMÁR P.;GM HHR FWD;1.774;1.855;1.658;2.096
GUU-008;HAJDU FERDINANDA;HONDA RL;1.693;2.374;2.017;2.876
RIG-211;KEREKES ABDULLAH I.;GM Daewoo AVEO;2.512;0.595;3.904;4.642
WXY-356;SZALAI KLEMENCIA;Nissan FX35 AWD;2.197;1.912;2.722;1.866
EJX-741;SÁRKÖZI SZIÉNA;MERCEDES BENZ C350;1.842;2.629;1.585;2.484
RTA-595;VARGA ÁRVIN;FUJI IMPREZA AWD;2.865;2.178;1.546;2.212
LGF-186;SÁNDOR SZEBASZTIÁN;DaimlerChrysler SEBRING 4-DR;1.509;2.316;2.099;2.98
NBM-857;SIMON ÁRNIKA;DaimlerChrysler TOWN & COUNTRY 2WD;4.587;2.94;1.525;2.531
DWT-877;FEKETE ADÉL;GM ENVOY 2WD;2.851;2.273;2.588;2.148
GAI-906;KELEMEN RONEL V.;JAGUAR X-TYPE;2.031;2.774;2.71;2.89
TJM-439;SOMOGYI LÓNA Z.;TOYOTA HIGHLANDER HYBRID 2WD;2.273;4.496;1.135;3.546
VTL-166;SIPOS HARSÁNY;GM XLR;2.729;1.549;2.406;2.26
HCV-600;KELEMEN RADÓ J.;Ford THUNDERBIRD;2.582;2.546;1.583;2.625
LKV-824;SZABÓ TEODÓZIA;GM Daewoo FORENZA;2.806;2.912;2.256;1.545
IGY-934;NOVÁK SEBŐK;GM K15 SILVERADO HYBRID 4WD;2.11;2.708;1.727;2.998
OTO-976;KISS RAUL;FERRARI FERRARI 612 SCAGLIETTI;2.219;1.909;1.78;2.597
OAQ-695;LAKATOS ALMÁR L.;AUDI S4 CABRIOLET;2.047;1.615;2.593;2.486
FRC-688;BALÁZS VATA K.;SUZUKI GRAND VITARA XV6 AWD;2.273;4.617;2.326;1.549
GYK-976;SZALAI SZANTIÁGÓ K.;Ford MONTEREY WAGON FWD;2.109;2.358;2.134;1.638
HQK-252;BOROS ANKISZA B.;GM 9-3 SPORT SEDAN;2.198;3.894;1.032;0.801
YWZ-755;NEMES RODRIGÓ T.;GM ESCALADE ESV AWD;1.547;2.945;1.78;2.715
ITF-592;HALÁSZ TEGE;VOLVO XC 90 AWD;2.504;4.071;4.581;1.645
HFU-539;JÓNÁS ZERIND U.;TOYOTA SEQUOIA 4WD;1.637;2.704;1.746;1.982
DOX-138;SZALAI KÁRMÁN B.;GM MONTE CARLO;0.946;0.561;1.343;1.605
DWW-492;VÖRÖS BOD;GM LACROSSE/ALLURE;2.384;1.934;2.449;2.062
YQY-222;BODNÁR ORA;BMW 525I;2.905;2.82;2.172;2.376
ORW-749;RÁCZ KINCSE;JAGUAR S-TYPE R;2.29;2.052;2.646;1.628
EYE-496;BORBÉLY ETE G.;GM GRAND PRIX;1.646;1.864;2.076;1.515
KMZ-296;PÁL EVITA;TOYOTA PRIUS;2.045;1.52;2.638;2.498
WFU-593;FODOR ORSOLYA;GM C1500 YUKON 2WD;2.457;1.676;1.5;4.371
INK-123;MOLNÁR MODESZTUSZ C.;BENTLEY CONTINENTAL FLYING SPUR;2.716;4.384;3.611;2.501
FDS-421;HEGEDÜS VÉTA A.;BMW 330XI;4.254;2.913;1.966;2.409
XZG-364;KOZMA RAJMUND;Nissan M45;4.429;3.599;2.248;2.908
VYW-295;MAGYAR AZARÉL;JAGUAR VDP LWB;2.314;2.11;2.223;1.92
SEB-952;SOMOGYI LÍCIA;GM ENVOY XL 4WD;2.227;2.76;1.824;2.638
MZI-955;KATONA GLENDA;MAZDA 6 SPORT WAGON;1.085;1.683;3.478;1.442
SCM-108;JAKAB AJSA D.;BMW 330CI CONVERTIBLE;2.804;1.675;2.527;2.706
BTU-959;BARTA ROXÁN G.;BMW M3;3.176;2.102;3.816;4.587
YCW-558;JUHÁSZ SZONA;GM I-280 2WD EXT CAB;2.927;2.993;2.969;2.282
OTP-427;MOLNÁR SZIMONETTA;TOYOTA IS 250;2.339;2.905;1.852;2.199
GWV-640;KIS JANNA;TOYOTA TOYOTA TACOMA 2WD;2.885;1.996;1.556;1.902
YNH-414;PÁL JÁDE;BMW 325XI;2.946;2.94;1.75;2.958
ZPT-204;MEZEI NIKÉ X.;GM GRAND PRIX;2.78;1.989;1.962;2.553
SIP-384;MÁTÉ JONATÁN T.;Nissan 350Z ROADSTER;2.045;2.762;2.93;2.165
YJN-123;PINTÉR RUA D.;MERCEDES BENZ MAYBACH 62;2.68;2.04;2.27;2.584
EQY-732;RÁCZ TEOFÁNIA I.;GM K1500 AVALANCHE 4WD;1.782;2.501;2.551;2.273
NEV-198;SOMOGYI REBEKA;Nissan FRONTIER V6-4WD;2.39;1.784;1.962;1.93
HHM-512;ANTAL BALDÓ;GM G15/25CHEV VAN 2WD CONV;2.659;2.577;2.079;2.884
JDB-802;FARAGÓ BORBOLYA;FERRARI FERRARI 612 SCAGLIETTI;2.343;2.907;1.81;2.965
DDV-341;NOVÁK JOACHIM S.;GM EQUINOX AWD;2.33;1.943;2.207;1.76
TEG-398;HALÁSZ SZÍRA;HYUNDAI TUCSON 2WD;1.607;1.954;1.909;2.946
KTS-131;SZEKERES ARCHIBALD F.;BMW MINI COOPER S CONVERTIBLE;2.464;1.62;2.581;2.686
ZVO-317;BÁLINT PÉTER V.;Ford CROWN VICTORIA POLICE;4.686;2.659;4.537;1.07
TYQ-897;BODNÁR ANZELM E.;GM VUE AWD;1.761;1.513;2.053;1.83
FEI-241;PÁSZTOR NEDDA;Ford THUNDERBIRD;2.87;2.344;2.33;1.749
AAO-184;KOZMA SEBŐ L.;MERCEDES BENZ R350;1.652;1.551;2.313;2.079
YWK-359;FEHÉR TANITA;GM ESCALADE 2WD;1.848;1.716;1.979;1.96
LGE-194;FARAGÓ MONA;GM 9-3 CONVERTIBLE;1.793;2.04;2.677;2.884
PIO-495;PATAKI VATA K.;BMW 330CI CONVERTIBLE;1.525;1.814;2.195;2.389
MZM-687;SÁNDOR SZIVÁRVÁNY;MERCEDES BENZ E350;2.226;1.65;1.924;2.356
YEK-942;BIRÓ EGMONT T.;BMW MINI COOPER CONVERTIBLE;2.608;1.719;2.06;2.192
JEY-719;GÁL HIERONIMA;DaimlerChrysler DAKOTA PICKUP 4WD;2.148;2.167;2.781;1.675
RQK-632;SIMON LAMBERT;GM C1500 TAHOE 2WD;1.627;2.155;1.739;2.693
GKU-619;FARKAS KORON Y.;TOYOTA 4RUNNER 4WD;2.888;0.678;2.447;1.081
LNK-504;ORBÁN PÁLOS;HONDA ACCORD HYBRID;2.395;2.879;2.527;2.542
VDX-721;KATONA DIOMÉD;HYUNDAI SANTAFE 2WD;2.642;2.166;1.882;2.561
YOL-857;BOROS RUDOLF;TOYOTA HIGHLANDER HYBRID 4WD;2.984;1.576;2.492;1.758
UAJ-881;SZŐKE LÁSZLÓ;GM SOLSTICE;1.545;0.879;2.79;4.988
DDL-135;VASS KRIZOSZTOM H.;VOLVO S60 FWD;2.906;1.757;2.547;1.528
IRZ-286;FARKAS BENŐ;Ford ESCAPE HYBRID FWD;1.536;2.426;2.691;2.19
RDH-023;FARAGÓ BALASSA;BMW X3;4.844;1.197;4.026;2.752
ZVF-453;FEHÉR LEÁNDROSZ;Ford TOWN CAR;1.717;2.03;2.331;1.924
HZQ-847;BIRÓ MARVIN D.;MERCEDES BENZ SLK280;2.039;1.747;2.4;2.334
PWP-109;ANTAL NÉLIA D.;Nissan SENTRA;2.68;2.134;2.062;1.662
JQR-571;NÉMETH KORNÉL;AUDI A6 AVANT QUATTRO;0.502;1.38;3.616;1.203
ERW-024;VASS FILOTEA L.;BMW 530I;2.848;2.805;2.983;1.943
JOQ-224;KOCSIS ZELINKE B.;DaimlerChrysler CARAVAN 2WD;2.956;2.292;1.757;2.588
OMK-046;HAJDU GYOPÁRKA S.;VOLKSWAGEN TOUAREG;1.682;2.365;1.864;2.283
DKC-592;MÁRTON NAVID;HYUNDAI ELANTRA;1.892;2.905;2.393;1.874
NQI-886;MÁTÉ ZÓLYOM;Nissan SENTRA;2.648;2.863;2.892;2.716
GSA-797;BARTA VILMOS K.;VOLVO S60 AWD;1.968;2.533;2.389;2.653
UUA-050;BOGNÁR FULVIA C.;VOLKSWAGEN NEW BEETLE;1.972;1.867;2.196;1.588
AKB-672;MEZEI JULIANNA Z.;GM C1500 SUBURBAN 2WD;2.541;1.737;2.93;2.273
GBM-182;OROSZ PEGGI W.;Nissan MURANO FWD;1.546;2.045;2.419;2.122
TWH-659;KEREKES BIHAR;GM MONTANA SV6 AWD;2.027;2.41;2.088;2.515
OSD-325;SZŰCS SZOVÁT;HONDA RL;4.267;2.57;1.057;3.123
KJP-748;BOROS ANNA J.;JAGUAR S-TYPE R;2.504;2.125;1.635;2.499
YDS-479;GULYÁS ROBIN;GM G15/25CHEV VAN 2WD CONV;2.366;2.606;1.715;2.51
RAG-609;BAKOS DANILÓ;Nissan M35X;2.431;2.139;1.918;2.297
OTG-507;VÖRÖS ABELÁRD;MERCEDES BENZ C230;1.816;1.755;2.397;2.892
EHM-760;ANTAL BRIANNA;DaimlerChrysler 300C/SRT-8;1.645;1.953;1.809;2.015
KFV-970;ANTAL RAGNA;DaimlerChrysler PACIFICA 2WD;2.744;1.96;2.47;1.55
XYJ-776;SZALAI BETLEN F.;HYUNDAI AZERA;1.557;1.89;1.978;1.632
EKW-393;PAPP DELLA U.;VOLKSWAGEN NEW BEETLE;2.076;1.579;2.468;2.862
SGV-992;GÁL GILBERTA C.;DaimlerChrysler DAKOTA PICKUP 2WD;2.685;2.523;1.796;2.257
TAL-163;VÁRADI BENIEL L.;AUDI A4 QUATTRO;2.3;1.675;2.538;2.867
JHP-448;PÁSZTOR SZIBILLA N.;GM LIMOUSINE;2.241;1.818;1.785;2.166
PTR-206;SZILÁGYI PALOMA;VOLKSWAGEN TOUAREG;1.916;1.685;1.653;2.856
OZB-719;KOVÁCS BOÁZ;GM COLORADO 2WD;4.666;1.677;4.492;1.34
LTX-988;RÁCZ BERNÁRD O.;KIA SPECTRA(LD);2.222;2.715;2.695;1.89
LHG-416;NOVÁK ELGA;GM SSR PICKUP 2WD;1.983;2.318;2.314;1.854
CFS-727;LAKATOS KORNÉL;BMW 760LI;4.886;2.197;2.784;1.605
